state_name,state_abbr,state_fips,agencies_reporting,incidents,stolen_value_usd,recovered_value_usd,percent_recovered,population_2024,national_rate_per_100k,national_value_per_capita_usd,incidents_per_100k,expected_incidents,stolen_value_per_capita_usd,z_score,surprise_p,surprise_score,surprise_display,z_value,value_surprise,direction
Alabama,AL,01,107,320,2747018,643924,23.4,3201827,7.7418,2.31,9.994,247.9,0.86,4.581,4.630419119910911e-06,5.334,2.14,-0.21,-0.458,higher_than_expected
Alaska,AK,02,2,2,13598,13228,97.3,496127,7.7418,2.31,0.403,38.4,0.03,-5.875,4.227175942617123e-09,8.374,-2.424,-0.309,-0.556,lower_than_expected
Arizona,AZ,04,30,335,13110900,1127153,8.6,6079887,7.7418,2.31,5.51,470.7,2.16,-6.255,3.980678009440908e-10,9.4,-2.501,-0.056,-0.236,lower_than_expected
Arkansas,AR,05,19,32,1327203,15000,1.1,2082294,7.7418,2.31,1.537,161.2,0.64,-10.177,0.0,30.0,-3.19,-0.236,-0.486,lower_than_expected
California,CA,06,70,586,75616971,6694644,8.9,32976857,7.7418,2.31,1.777,2553.0,2.29,-38.931,0.0,30.0,-6.239,-0.04,-0.199,lower_than_expected
Colorado,CO,08,84,407,4143468,522001,12.6,4457491,7.7418,2.31,9.131,345.1,0.93,3.333,0.0008600981096913429,3.065,1.826,-0.202,-0.449,higher_than_expected
Connecticut,CT,09,3,3,284838,670,0.2,1439192,7.7418,2.31,0.208,111.4,0.2,-10.272,0.0,30.0,-3.205,-0.289,-0.537,lower_than_expected
Delaware,DE,10,19,76,1980874,84884,4.3,298517,7.7418,2.31,25.459,23.1,6.64,11.002,0.0,30.0,3.317,0.477,0.691,higher_than_expected
District of Columbia,DC,11,2,29,19938,2002,10.0,702250,7.7418,2.31,4.13,54.4,0.03,-3.44,0.0005806709008475686,3.236,-1.855,-0.309,-0.556,lower_than_expected
Florida,FL,12,87,1148,19260026,2598719,13.5,11681597,7.7418,2.31,9.827,904.4,1.65,8.102,4.440892098500626e-16,15.353,2.846,-0.116,-0.341,higher_than_expected
Georgia,GA,13,130,1401,21908438,2464704,11.3,5052889,7.7418,2.31,27.727,391.2,4.34,51.058,0.0,30.0,7.146,0.203,0.451,higher_than_expected
Idaho,ID,16,16,57,529237,11214,2.1,1429318,7.7418,2.31,3.988,110.7,0.37,-5.101,3.3807590416046196e-07,6.471,-2.259,-0.268,-0.518,lower_than_expected
Illinois,IL,17,160,840,25119607,1373452,5.5,11096576,7.7418,2.31,7.57,859.1,2.26,-0.651,0.5150516801180678,0.288,-0.807,-0.043,-0.207,lower_than_expected
Indiana,IN,18,44,196,14597223,1024886,7.0,4672119,7.7418,2.31,4.195,361.7,3.12,-8.713,0.0,30.0,-2.952,0.059,0.244,lower_than_expected
Iowa,IA,19,20,44,3028415,35696,1.2,2616653,7.7418,2.31,1.682,202.6,1.16,-11.142,0.0,30.0,-3.338,-0.175,-0.418,lower_than_expected
Kentucky,KY,21,28,70,150158831,1169540,0.8,2570255,7.7418,2.31,2.723,199.0,58.42,-9.144,0.0,30.0,-3.024,6.635,2.576,lower_than_expected
Maryland,MD,24,61,1203,10775384,3584653,33.3,1565446,7.7418,2.31,76.847,121.2,6.88,98.271,0.0,30.0,9.913,0.506,0.712,higher_than_expected
Massachusetts,MA,25,61,407,2895781,190793,6.6,3854162,7.7418,2.31,10.56,298.4,0.75,6.288,3.211741983477623e-10,9.493,2.508,-0.223,-0.472,higher_than_expected
Michigan,MI,26,151,603,4039830,715696,17.7,5098906,7.7418,2.31,11.826,394.7,0.79,10.482,0.0,30.0,3.238,-0.218,-0.467,higher_than_expected
Minnesota,MN,27,8,12,185295,549,0.3,4837837,7.7418,2.31,0.248,374.5,0.04,-18.734,0.0,30.0,-4.328,-0.308,-0.555,lower_than_expected
Mississippi,MS,28,31,151,2150118,302520,14.1,1487233,7.7418,2.31,10.153,115.1,1.45,3.342,0.0008313694722192899,3.08,1.828,-0.14,-0.375,higher_than_expected
Missouri,MO,29,103,463,3983300,788440,19.8,4158142,7.7418,2.31,11.135,321.9,0.96,7.864,3.774758283725532e-15,14.423,2.804,-0.198,-0.445,higher_than_expected
Montana,MT,30,1,1,24,0,0.0,621144,7.7418,2.31,0.161,48.1,0.0,-6.791,1.1166179092469974e-11,10.952,-2.606,-0.312,-0.559,lower_than_expected
Nebraska,NE,31,7,11,108141,35615,32.9,1558152,7.7418,2.31,0.706,120.6,0.07,-9.982,0.0,30.0,-3.159,-0.304,-0.551,lower_than_expected
Nevada,NV,32,14,750,12512849,2741999,21.9,1894855,7.7418,2.31,39.581,146.7,6.6,49.813,0.0,30.0,7.058,0.473,0.688,higher_than_expected
New Hampshire,NH,33,13,15,102143,28251,27.7,442485,7.7418,2.31,3.39,34.3,0.23,-3.29,0.0010011477961273663,3.0,-1.814,-0.285,-0.534,lower_than_expected
New Jersey,NJ,34,69,260,9186804,1004698,10.9,4537431,7.7418,2.31,5.73,351.3,2.02,-4.87,1.1134095849740788e-06,5.953,-2.207,-0.071,-0.267,lower_than_expected
New Mexico,NM,35,34,525,5491129,606237,11.0,1440149,7.7418,2.31,36.455,111.5,3.81,39.163,0.0,30.0,6.258,0.141,0.376,higher_than_expected
New York,NY,36,14,321,731979,2514,0.3,12694930,7.7418,2.31,2.529,982.8,0.06,-21.112,0.0,30.0,-4.595,-0.305,-0.553,lower_than_expected
North Carolina,NC,37,185,1144,8516751,1673172,19.6,6414049,7.7418,2.31,17.836,496.6,1.33,29.055,0.0,30.0,5.39,-0.154,-0.393,higher_than_expected
North Dakota,ND,38,9,14,173320,13029,7.5,622751,7.7418,2.31,2.248,48.2,0.28,-4.927,8.33147297596426e-07,6.079,-2.22,-0.279,-0.528,lower_than_expected
Ohio,OH,39,134,1371,11275079,2743195,24.3,7709375,7.7418,2.31,17.784,596.8,1.46,31.689,0.0,30.0,5.629,-0.138,-0.372,higher_than_expected
Oklahoma,OK,40,1,8,24320,0,0.0,3166256,7.7418,2.31,0.253,245.1,0.01,-15.146,0.0,30.0,-3.892,-0.311,-0.558,lower_than_expected
Oregon,OR,41,25,95,192618,6989,3.6,3030527,7.7418,2.31,3.135,234.6,0.06,-9.115,0.0,30.0,-3.019,-0.305,-0.552,lower_than_expected
Pennsylvania,PA,42,44,340,3934526,543320,13.8,5654253,7.7418,2.31,6.013,437.7,0.7,-4.672,2.98400493825568e-06,5.525,-2.161,-0.229,-0.479,lower_than_expected
Rhode Island,RI,44,6,10,72891,1,,579689,7.7418,2.31,1.725,44.9,0.13,-5.207,1.9230426473448858e-07,6.716,-2.282,-0.297,-0.545,lower_than_expected
South Carolina,SC,45,65,609,7245696,827903,11.4,2035222,7.7418,2.31,29.923,157.6,3.56,35.965,0.0,30.0,5.997,0.111,0.333,higher_than_expected
South Dakota,SD,46,7,23,400864,61270,15.3,668662,7.7418,2.31,3.44,51.8,0.6,-3.998,6.378126898765046e-05,4.195,-2.0,-0.241,-0.491,lower_than_expected
Tennessee,TN,47,66,577,6747250,2355564,34.9,4357703,7.7418,2.31,13.241,337.4,1.55,13.047,0.0,30.0,3.612,-0.128,-0.358,higher_than_expected
Texas,TX,48,190,972,51852619,9591820,18.5,22551709,7.7418,2.31,4.31,1745.9,2.3,-18.523,0.0,30.0,-4.304,-0.039,-0.197,lower_than_expected
Utah,UT,49,12,15,546035,142031,26.0,3286949,7.7418,2.31,0.456,254.5,0.17,-15.012,0.0,30.0,-3.875,-0.292,-0.541,lower_than_expected
Vermont,VT,50,2,2,451,0,0.0,154693,7.7418,2.31,1.293,12.0,0.0,-2.883,0.003941140313242331,2.404,-1.698,-0.312,-0.558,lower_than_expected
Virginia,VA,51,36,216,3017038,547977,18.2,3136606,7.7418,2.31,6.886,242.8,0.96,-1.722,0.085089747230779,1.07,-1.312,-0.198,-0.445,lower_than_expected
Washington,WA,53,56,339,2145218,358667,16.7,5235382,7.7418,2.31,6.475,405.3,0.41,-3.294,0.0009874564719238865,3.005,-1.815,-0.263,-0.513,lower_than_expected
West Virginia,WV,54,36,93,354421,35817,10.1,601282,7.7418,2.31,15.467,46.6,0.59,6.808,9.876544027065393e-12,11.005,2.609,-0.242,-0.492,higher_than_expected
Wisconsin,WI,55,33,75,727713,82767,11.4,4379688,7.7418,2.31,1.712,339.1,0.17,-14.341,0.0,30.0,-3.787,-0.292,-0.541,lower_than_expected
Wyoming,WY,56,5,12,148297,1279,0.9,403303,7.7418,2.31,2.975,31.2,0.37,-3.44,0.0005809694198797288,3.236,-1.855,-0.268,-0.518,lower_than_expected
